datetime,u_component_of_wind_10m,v_component_of_wind_10m,wind_speed,wind_direction_deg,wind_direction_cardinal
2024-01-01 00:00:00,-2.270477294921875,0.8579025268554688,2.427151394606598,110.69913107184819,E
2024-01-01 01:00:00,-2.00262451171875,0.7434320449829102,2.136163884266428,110.36637993633785,E
2024-01-01 02:00:00,-1.760650634765625,0.7471103668212891,1.9126067441877432,112.99334085927728,SE
2024-01-01 03:00:00,-1.2974090576171875,0.7029571533203125,1.4756080177985331,118.44954916414339,SE
2024-01-01 04:00:00,-1.2682342529296875,0.4735107421875,1.3537468534667327,110.47373157321844,E
2024-01-01 05:00:00,-1.0847015380859375,0.660430908203125,1.2699395305430896,121.33554499555733,SE
2024-01-01 06:00:00,-0.57421875,0.9010238647460938,1.0684433432304914,147.49080794310424,SE
2024-01-01 07:00:00,0.2551116943359375,0.9398059844970703,0.9738158270861387,195.18705798972988,S
2024-01-01 08:00:00,1.065826416015625,0.7507486343383789,1.303690707582766,234.83983411042595,SW
2024-01-01 09:00:00,1.2722930908203125,0.3329658508300781,1.3151410444389993,255.33430187034756,W
2024-01-01 10:00:00,1.553466796875,0.40074729919433594,1.604324620145383,255.53480160228486,W
2024-01-01 11:00:00,2.0542144775390625,0.39488983154296875,2.091825781174694,259.11854560283473,W
2024-01-01 12:00:00,2.35357666015625,0.10420608520507812,2.3558824256371573,267.4648490808246,W
2024-01-01 13:00:00,2.460906982421875,-0.14017486572265625,2.464895975312772,273.26008219533765,W
2024-01-01 14:00:00,2.53216552734375,-0.29717254638671875,2.5495438376686166,276.6935599794162,W
2024-01-01 15:00:00,2.51556396484375,-0.1892833709716797,2.522675218046669,274.30310659470024,W
2024-01-01 16:00:00,2.5121307373046875,0.040393829345703125,2.5124554727915482,269.07879137275,W
2024-01-01 17:00:00,2.592437744140625,0.223388671875,2.602044572248333,265.0750255244912,W
2024-01-01 18:00:00,2.720428466796875,0.3777008056640625,2.7465230640863147,262.0956573931838,W
2024-01-01 19:00:00,2.659088134765625,0.006500244140625,2.6590960798032888,269.859938522409,W
2024-01-01 20:00:00,2.6503753662109375,0.21228599548339844,2.658863465034664,265.42058049772254,W
2024-01-01 21:00:00,2.69805908203125,0.4049530029296875,2.7282796309603388,261.4641639909369,W
2024-01-01 22:00:00,2.81817626953125,0.5711421966552734,2.875468813071928,258.54339091082176,W
2024-01-01 23:00:00,2.9366607666015625,0.6839694976806641,3.015259645843856,256.88913372514327,W
2024-01-02 00:00:00,3.0115814208984375,0.7498683929443359,3.1035343177476826,256.0179701867303,W
2024-01-02 01:00:00,2.9779510498046875,0.6584129333496094,3.0498688571535135,257.5327005352626,W
2024-01-02 02:00:00,2.85076904296875,0.6689720153808594,2.9282089566340193,256.7937102539911,W
2024-01-02 03:00:00,2.7540283203125,0.8196315765380859,2.8734070213496725,253.42636891775433,W
2024-01-02 04:00:00,2.8281707763671875,0.9313163757324219,2.9775661423392012,251.77329067393418,W
2024-01-02 05:00:00,2.9068145751953125,0.7421178817749023,3.0000516537249777,255.67815976376733,W
2024-01-02 06:00:00,2.5613250732421875,0.7521276473999023,2.669472256608487,253.6352361425464,W
2024-01-02 07:00:00,2.060302734375,0.8282575607299805,2.220553522025416,248.09949313404707,W
2024-01-02 08:00:00,1.8990020751953125,1.0477609634399414,2.1688734214113783,241.11259292721397,SW
2024-01-02 09:00:00,2.6893768310546875,1.560368537902832,3.1092599945148964,239.87781885738087,SW
2024-01-02 10:00:00,2.261474609375,1.494863510131836,2.7108825726636487,236.53478880182877,SW
2024-01-02 11:00:00,2.5745086669921875,1.6818437576293945,3.075173702654023,236.8447054674204,SW
2024-01-02 12:00:00,1.82855224609375,1.673574447631836,2.4788010707720582,227.53382733123505,SW
2024-01-02 13:00:00,0.94549560546875,1.8983478546142578,2.1207749803030196,206.47616731137964,SW
2024-01-02 14:00:00,-0.2763671875,2.016951560974121,2.035797735936113,172.1977918522296,S
2024-01-02 15:00:00,-1.4997711181640625,2.062774658203125,2.5503632481284115,143.9804143877683,SE
2024-01-02 16:00:00,-2.1786651611328125,2.239532470703125,3.1244339602026328,135.78928550395102,SE
2024-01-02 17:00:00,-2.42901611328125,2.5316619873046875,3.5084799695229085,136.18538960016798,SE
2024-01-02 18:00:00,-2.513763427734375,2.7350921630859375,3.7147995519528356,137.41456337116546,SE
2024-01-02 19:00:00,-2.488983154296875,2.7675323486328125,3.722132781498085,138.033336377968,SE
2024-01-02 20:00:00,-2.32208251953125,3.1119384765625,3.882811907551373,143.2702437264816,SE
2024-01-02 21:00:00,-2.3525390625,3.1490631103515625,3.930780903785587,143.23806260705814,SE
2024-01-02 22:00:00,-2.3771209716796875,3.00543212890625,3.831882878620031,141.6580652389378,SE
2024-01-02 23:00:00,-2.4322662353515625,2.75146484375,3.672394018351445,138.5236531296078,SE
2024-01-03 00:00:00,-2.5175323486328125,2.5512237548828125,3.5842309877979406,135.38083247974106,SE
2024-01-03 01:00:00,-2.5739898681640625,2.3916473388671875,3.513602259067145,132.89699390982904,SE
2024-01-03 02:00:00,-2.63543701171875,2.3415699005126953,3.5254046351765194,131.6208969321148,SE
2024-01-03 03:00:00,-2.5558013916015625,2.3331470489501953,3.4605918432166325,132.39241570397274,SE
2024-01-03 04:00:00,-2.236419677734375,2.253570556640625,3.174925704440194,135.21885753546343,SE
2024-01-03 05:00:00,-1.9000244140625,1.955653190612793,2.7266595269647333,135.826592188021,SE
2024-01-03 06:00:00,-1.540283203125,1.6796627044677734,2.278977653819582,137.47857426779072,SE
