Kod,District_code,Nazwa,percent_of_total_deaths
1423000,1423,Powiat przysuski,5.6
1424000,1424,Powiat pułtuski,7.3
1425000,1425,Powiat radomski,5.6
1426000,1426,Powiat siedlecki,7.6
1427000,1427,Powiat sierpecki,8.5
1428000,1428,Powiat sochaczewski,9.2
1429000,1429,Powiat sokołowski,7.8
1430000,1430,Powiat szydłowiecki,7.8
1432000,1432,Powiat warszawski zachodni,9.4
1433000,1433,Powiat węgrowski,7.7
1434000,1434,Powiat wołomiński,12.2
1435000,1435,Powiat wyszkowski,10
1436000,1436,Powiat zwoleński,4.5
1437000,1437,Powiat żuromiński,6.3
1438000,1438,Powiat żyrardowski,6.5
1461000,1461,Powiat m. Ostrołęka,5.5
1462000,1462,Powiat m. Płock,11
1463000,1463,Powiat m. Radom,6
1464000,1464,Powiat m. Siedlce,8.3
1465000,1465,Powiat m. st. Warszawa,10.6
1601000,1601,Powiat brzeski,4.9
1602000,1602,Powiat głubczycki,7.9
1603000,1603,Powiat kędzierzyńsko-kozielski,6.3
1604000,1604,Powiat kluczborski,5.1
1605000,1605,Powiat krapkowicki,5.9
1606000,1606,Powiat namysłowski,7
1607000,1607,Powiat nyski,6.1
1608000,1608,Powiat oleski,7.7
1609000,1609,Powiat opolski,7.2
1610000,1610,Powiat prudnicki,6.2
1611000,1611,Powiat strzelecki,5.7
1661000,1661,Powiat m. Opole,8
1801000,1801,Powiat bieszczadzki,4.5
1802000,1802,Powiat brzozowski,5.7
1803000,1803,Powiat dębicki,6.9
1804000,1804,Powiat jarosławski,4.9
1805000,1805,Powiat jasielski,7.3
1806000,1806,Powiat kolbuszowski,5.3
1807000,1807,Powiat krośnieński,6.9
1808000,1808,Powiat leżajski,5.4
1809000,1809,Powiat lubaczowski,6.3
1810000,1810,Powiat łańcucki,10.2
1811000,1811,Powiat mielecki,8.5
1812000,1812,Powiat niżański,5.5
1813000,1813,Powiat przemyski,7.4
1814000,1814,Powiat przeworski,8.2
1815000,1815,Powiat ropczycko-sędziszowski,7.3
1816000,1816,Powiat rzeszowski,8
1817000,1817,Powiat sanocki,9
1818000,1818,Powiat stalowowolski,7.2
1819000,1819,Powiat strzyżowski,10.4
1820000,1820,Powiat tarnobrzeski,5.5
1821000,1821,Powiat leski,12.3
1861000,1861,Powiat m. Krosno,9.5
1862000,1862,Powiat m. Przemyśl,4.7
1863000,1863,Powiat m. Rzeszów,9.7
1864000,1864,Powiat m. Tarnobrzeg,7.2
2001000,2001,Powiat augustowski,6.2
2002000,2002,Powiat białostocki,7.8
2003000,2003,Powiat bielski,7.2
2004000,2004,Powiat grajewski,5.7
2005000,2005,Powiat hajnowski,6.1
2006000,2006,Powiat kolneński,6.9
2007000,2007,Powiat łomżyński,5.2
