"Kod";"Nazwa";"choroby układu oddechowego ogółem;2023;[%]";
1410000;"Powiat łosicki";7,3;
1411000;"Powiat makowski";6,4;
1412000;"Powiat miński";11,7;
1413000;"Powiat mławski";4,8;
1414000;"Powiat nowodworski";5,6;
1415000;"Powiat ostrołęcki";5,8;
1416000;"Powiat ostrowski";8,1;
1417000;"Powiat otwocki";10,4;
1418000;"Powiat piaseczyński";8,9;
1419000;"Powiat płocki";8,6;
1420000;"Powiat płoński";9,5;
1421000;"Powiat pruszkowski";7,7;
1422000;"Powiat przasnyski";7,0;
1423000;"Powiat przysuski";5,6;
1424000;"Powiat pułtuski";7,3;
1425000;"Powiat radomski";5,6;
1426000;"Powiat siedlecki";7,6;
1427000;"Powiat sierpecki";8,5;
1428000;"Powiat sochaczewski";9,2;
1429000;"Powiat sokołowski";7,8;
1430000;"Powiat szydłowiecki";7,8;
1432000;"Powiat warszawski zachodni";9,4;
1433000;"Powiat węgrowski";7,7;
1434000;"Powiat wołomiński";12,2;
1435000;"Powiat wyszkowski";10,0;
1436000;"Powiat zwoleński";4,5;
1437000;"Powiat żuromiński";6,3;
1438000;"Powiat żyrardowski";6,5;
1461000;"Powiat m. Ostrołęka";5,5;
1462000;"Powiat m. Płock";11,0;
1463000;"Powiat m. Radom";6,0;
1464000;"Powiat m. Siedlce";8,3;
1465000;"Powiat m. st. Warszawa";10,6;
1600000;"OPOLSKIE";6,5;
1601000;"Powiat brzeski";4,9;
1602000;"Powiat głubczycki";7,9;
1603000;"Powiat kędzierzyńsko-kozielski";6,3;
1604000;"Powiat kluczborski";5,1;
1605000;"Powiat krapkowicki";5,9;
1606000;"Powiat namysłowski";7,0;
1607000;"Powiat nyski";6,1;
1608000;"Powiat oleski";7,7;
1609000;"Powiat opolski";7,2;
1610000;"Powiat prudnicki";6,2;
1611000;"Powiat strzelecki";5,7;
1661000;"Powiat m. Opole";8,0;
1800000;"PODKARPACKIE";7,5;
1801000;"Powiat bieszczadzki";4,5;
1802000;"Powiat brzozowski";5,7;
1803000;"Powiat dębicki";6,9;
1804000;"Powiat jarosławski";4,9;
1805000;"Powiat jasielski";7,3;
1806000;"Powiat kolbuszowski";5,3;
1807000;"Powiat krośnieński";6,9;
1808000;"Powiat leżajski";5,4;
1809000;"Powiat lubaczowski";6,3;
1810000;"Powiat łańcucki";10,2;
1811000;"Powiat mielecki";8,5;
1812000;"Powiat niżański";5,5;
1813000;"Powiat przemyski";7,4;
1814000;"Powiat przeworski";8,2;
1815000;"Powiat ropczycko-sędziszowski";7,3;
1816000;"Powiat rzeszowski";8,0;
1817000;"Powiat sanocki";9,0;
1818000;"Powiat stalowowolski";7,2;
1819000;"Powiat strzyżowski";10,4;
1820000;"Powiat tarnobrzeski";5,5;
1821000;"Powiat leski";12,3;
1861000;"Powiat m. Krosno";9,5;
1862000;"Powiat m. Przemyśl";4,7;
1863000;"Powiat m. Rzeszów";9,7;
1864000;"Powiat m. Tarnobrzeg";7,2;
2000000;"PODLASKIE";6,8;
2001000;"Powiat augustowski";6,2;
2002000;"Powiat białostocki";7,8;
2003000;"Powiat bielski";7,2;
2004000;"Powiat grajewski";5,7;
2005000;"Powiat hajnowski";6,1;
2006000;"Powiat kolneński";6,9;
2007000;"Powiat łomżyński";5,2;
2008000;"Powiat moniecki";7,0;
2009000;"Powiat sejneński";7,9;
2010000;"Powiat siemiatycki";6,5;
2011000;"Powiat sokólski";4,9;
2012000;"Powiat suwalski";5,9;
2013000;"Powiat wysokomazowiecki";7,6;
2014000;"Powiat zambrowski";5,7;
2061000;"Powiat m. Białystok";7,5;
2062000;"Powiat m. Łomża";5,8;
2063000;"Powiat m. Suwałki";8,3;
2200000;"POMORSKIE";8,8;
2201000;"Powiat bytowski";8,2;
2202000;"Powiat chojnicki";8,1;
2203000;"Powiat człuchowski";7,2;
2204000;"Powiat gdański";8,4;
2205000;"Powiat kartuski";8,1;
2206000;"Powiat kościerski";9,7;
2207000;"Powiat kwidzyński";6,5;
2208000;"Powiat lęborski";7,3;
2209000;"Powiat malborski";8,5;
2210000;"Powiat nowodworski";6,8;
2211000;"Powiat pucki";9,6;
2212000;"Powiat słupski";9,0;
2213000;"Powiat starogardzki";9,2;
2214000;"Powiat tczewski";9,7;
2215000;"Powiat wejherowski";8,8;
2216000;"Powiat sztumski";6,9;
2261000;"Powiat m. Gdańsk";9,5;
2262000;"Powiat m. Gdynia";8,8;
2263000;"Powiat m. Słupsk";10,6;
2264000;"Powiat m. Sopot";8,7;
2400000;"ŚLĄSKIE";6,0;
2401000;"Powiat będziński";7,7;
2402000;"Powiat bielski";6,1;
2403000;"Powiat cieszyński";6,3;
2404000;"Powiat częstochowski";5,2;
2405000;"Powiat gliwicki";4,9;
2406000;"Powiat kłobucki";5,0;
2407000;"Powiat lubliniecki";8,1;
2408000;"Powiat mikołowski";6,2;
2409000;"Powiat myszkowski";5,1;
2410000;"Powiat pszczyński";5,6;
2411000;"Powiat raciborski";5,8;
2412000;"Powiat rybnicki";5,1;
2413000;"Powiat tarnogórski";6,7;
2414000;"Powiat bieruńsko-lędziński";3,3;
2415000;"Powiat wodzisławski";7,6;
2416000;"Powiat zawierciański";4,9;
2417000;"Powiat żywiecki";5,6;
2461000;"Powiat m. Bielsko-Biała";5,8;
2462000;"Powiat m. Bytom";7,7;
2463000;"Powiat m. Chorzów";8,9;
2464000;"Powiat m. Częstochowa";4,7;
2465000;"Powiat m. Dąbrowa Górnicza";5,0;
2466000;"Powiat m. Gliwice";3,6;
2467000;"Powiat m. Jastrzębie-Zdrój";8,5;
2468000;"Powiat m. Jaworzno";5,8;
2469000;"Powiat m. Katowice";5,8;
2470000;"Powiat m. Mysłowice";5,3;
2471000;"Powiat m. Piekary Śląskie";4,8;
2472000;"Powiat m. Ruda Śląska";6,1;
2473000;"Powiat m. Rybnik";8,4;
2474000;"Powiat m. Siemianowice Śląskie";5,7;
2475000;"Powiat m. Sosnowiec";4,5;
2476000;"Powiat m. Świętochłowice";9,1;
2477000;"Powiat m. Tychy";5,0;
2478000;"Powiat m. Zabrze";6,8;
2479000;"Powiat m. Żory";8,5;
2600000;"ŚWIĘTOKRZYSKIE";5,1;
2601000;"Powiat buski";3,7;
2602000;"Powiat jędrzejowski";2,7;
2603000;"Powiat kazimierski";5,4;
2604000;"Powiat kielecki";5,2;
2605000;"Powiat konecki";7,9;
2606000;"Powiat opatowski";4,0;
2607000;"Powiat ostrowiecki";4,9;
2608000;"Powiat pińczowski";4,4;
2609000;"Powiat sandomierski";5,8;
2610000;"Powiat skarżyski";5,8;
2611000;"Powiat starachowicki";4,0;
2612000;"Powiat staszowski";5,3;
2613000;"Powiat włoszczowski";4,7;
2661000;"Powiat m. Kielce";5,8;
2800000;"WARMIŃSKO-MAZURSKIE";9,3;
2801000;"Powiat bartoszycki";8,4;
2802000;"Powiat braniewski";10,4;
2803000;"Powiat działdowski";8,3;
2804000;"Powiat elbląski";8,4;
2805000;"Powiat ełcki";10,0;
2806000;"Powiat giżycki";9,5;
2807000;"Powiat iławski";5,8;
2808000;"Powiat kętrzyński";8,6;
2809000;"Powiat lidzbarski";8,0;
2810000;"Powiat mrągowski";11,4;
2811000;"Powiat nidzicki";12,4;
2812000;"Powiat nowomiejski";9,3;
2813000;"Powiat olecki";7,5;
2814000;"Powiat olsztyński";10,9;
2815000;"Powiat ostródzki";8,0;
2816000;"Powiat piski";5,7;
2817000;"Powiat szczycieński";8,2;
2818000;"Powiat gołdapski";8,2;
2819000;"Powiat węgorzewski";7,7;
2861000;"Powiat m. Elbląg";7,7;
2862000;"Powiat m. Olsztyn";13,8;
3000000;"WIELKOPOLSKIE";8,0;
3001000;"Powiat chodzieski";7,2;
3002000;"Powiat czarnkowsko-trzcianecki";8,5;
3003000;"Powiat gnieźnieński";9,7;
3004000;"Powiat gostyński";7,7;
3005000;"Powiat grodziski";4,4;
3006000;"Powiat jarociński";5,8;
3007000;"Powiat kaliski";10,2;
3008000;"Powiat kępiński";9,8;
